[residual] loading 16 LoRAs to compute mean template...
[mean_template_baseline] cos=0.9310 rel=0.3659 mse=0.000070
/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae_residual] dataset=16 num_pairs=80 rank=64 latent_dim=41472 device=cuda
step=00790/10000 loss=0.000052 mse=0.000052 cos=0.0057 rel=1.0103 nr=0.1497 fcos=0.9423 frel=0.3348 fnr=0.9371
step=00800/10000 loss=0.000072 mse=0.000072 cos=-0.0188 rel=1.0111 nr=0.1318 fcos=0.9283 frel=0.3726 fnr=0.9053
step=00810/10000 loss=0.000044 mse=0.000044 cos=-0.0225 rel=1.0185 nr=0.1722 fcos=0.9490 frel=0.3169 fnr=0.9800
step=00820/10000 loss=0.000047 mse=0.000047 cos=0.0122 rel=1.0132 nr=0.1757 fcos=0.9472 frel=0.3216 fnr=0.9720
step=00830/10000 loss=0.000068 mse=0.000068 cos=-0.0350 rel=1.0151 nr=0.1428 fcos=0.9328 frel=0.3610 fnr=0.9111
step=00840/10000 loss=0.000044 mse=0.000044 cos=-0.0127 rel=1.0179 nr=0.1779 fcos=0.9496 frel=0.3142 fnr=0.9713
step=00850/10000 loss=0.000058 mse=0.000058 cos=-0.0048 rel=1.0126 nr=0.1544 fcos=0.9371 frel=0.3492 fnr=0.9340
step=00860/10000 loss=0.000072 mse=0.000072 cos=-0.0268 rel=1.0120 nr=0.1305 fcos=0.9281 frel=0.3730 fnr=0.9052
step=00870/10000 loss=0.000045 mse=0.000045 cos=-0.0022 rel=1.0171 nr=0.1836 fcos=0.9484 frel=0.3178 fnr=0.9716
step=00880/10000 loss=0.000044 mse=0.000044 cos=-0.0143 rel=1.0201 nr=0.1878 fcos=0.9488 frel=0.3174 fnr=0.9803
step=00890/10000 loss=0.000068 mse=0.000068 cos=-0.0188 rel=1.0124 nr=0.1404 fcos=0.9332 frel=0.3600 fnr=0.9115
step=00900/10000 loss=0.000047 mse=0.000047 cos=0.0103 rel=1.0122 nr=0.1674 fcos=0.9451 frel=0.3270 fnr=0.9588
step=00910/10000 loss=0.000050 mse=0.000050 cos=-0.0201 rel=1.0210 nr=0.1867 fcos=0.9427 frel=0.3341 fnr=0.9596
step=00920/10000 loss=0.000048 mse=0.000048 cos=-0.0153 rel=1.0184 nr=0.1778 fcos=0.9444 frel=0.3290 fnr=0.9594
step=00930/10000 loss=0.000047 mse=0.000047 cos=-0.0181 rel=1.0195 nr=0.1809 fcos=0.9455 frel=0.3257 fnr=0.9555
step=00940/10000 loss=0.000048 mse=0.000048 cos=-0.0179 rel=1.0169 nr=0.1677 fcos=0.9446 frel=0.3286 fnr=0.9591
step=00950/10000 loss=0.000044 mse=0.000044 cos=-0.0073 rel=1.0170 nr=0.1782 fcos=0.9497 frel=0.3139 fnr=0.9718
step=00960/10000 loss=0.000053 mse=0.000053 cos=-0.0139 rel=1.0156 nr=0.1637 fcos=0.9417 frel=0.3365 fnr=0.9377
step=00970/10000 loss=0.000058 mse=0.000058 cos=-0.0220 rel=1.0158 nr=0.1579 fcos=0.9366 frel=0.3503 fnr=0.9339
step=00980/10000 loss=0.000069 mse=0.000069 cos=-0.0240 rel=1.0155 nr=0.1546 fcos=0.9304 frel=0.3666 fnr=0.9202
step=00990/10000 loss=0.000055 mse=0.000055 cos=-0.0161 rel=1.0156 nr=0.1620 fcos=0.9397 frel=0.3419 fnr=0.9381
step=01000/10000 loss=0.000072 mse=0.000072 cos=-0.0079 rel=1.0114 nr=0.1437 fcos=0.9293 frel=0.3701 fnr=0.9067
[save] /scratch/eyavuz21/lora_autoencoder/residual16_v1/checkpoint-1000
step=01010/10000 loss=0.000061 mse=0.000061 cos=0.0051 rel=1.0130 nr=0.1668 fcos=0.9363 frel=0.3516 fnr=0.9219
