/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=41472 device=cuda
step=01210/3000 loss=6.569579 tensor_mse=0.055339 delta_mse=0.000005 delta_rel=2.6997 delta_rel_loss=1.3083 cos=0.0849 rel=1.1900 norm_ratio=0.7355
step=01220/3000 loss=6.683489 tensor_mse=0.055528 delta_mse=0.000004 delta_rel=3.0548 delta_rel_loss=1.3999 cos=0.0723 rel=1.2034 norm_ratio=0.7456
step=01230/3000 loss=6.735531 tensor_mse=0.055203 delta_mse=0.000003 delta_rel=3.2669 delta_rel_loss=1.4509 cos=0.0671 rel=1.2145 norm_ratio=0.7596
step=01240/3000 loss=6.703787 tensor_mse=0.055985 delta_mse=0.000003 delta_rel=3.2492 delta_rel_loss=1.4467 cos=0.0722 rel=1.2198 norm_ratio=0.7744
step=01250/3000 loss=6.582462 tensor_mse=0.055116 delta_mse=0.000006 delta_rel=3.5399 delta_rel_loss=1.5129 cos=0.0994 rel=1.2027 norm_ratio=0.7748
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v4_global_pair_fuse/checkpoint-1250
step=01260/3000 loss=6.833679 tensor_mse=0.056819 delta_mse=0.000004 delta_rel=4.6891 delta_rel_loss=1.7385 cos=0.0750 rel=1.2286 norm_ratio=0.7927
step=01270/3000 loss=6.457719 tensor_mse=0.055522 delta_mse=0.000005 delta_rel=2.9043 delta_rel_loss=1.3621 cos=0.1084 rel=1.1921 norm_ratio=0.7663
step=01280/3000 loss=6.739980 tensor_mse=0.055927 delta_mse=0.000003 delta_rel=3.6927 delta_rel_loss=1.5460 cos=0.0744 rel=1.2280 norm_ratio=0.7909
step=01290/3000 loss=6.519825 tensor_mse=0.058219 delta_mse=0.000007 delta_rel=3.9070 delta_rel_loss=1.5907 cos=0.1177 rel=1.1969 norm_ratio=0.7859
step=01300/3000 loss=6.383481 tensor_mse=0.053906 delta_mse=0.000004 delta_rel=2.7598 delta_rel_loss=1.3244 cos=0.1186 rel=1.1745 norm_ratio=0.7460
step=01310/3000 loss=6.335791 tensor_mse=0.056613 delta_mse=0.000005 delta_rel=2.7881 delta_rel_loss=1.3319 cos=0.1278 rel=1.1735 norm_ratio=0.7550
step=01320/3000 loss=6.720377 tensor_mse=0.057662 delta_mse=0.000004 delta_rel=4.1410 delta_rel_loss=1.6372 cos=0.0863 rel=1.2305 norm_ratio=0.8085
step=01330/3000 loss=6.807520 tensor_mse=0.057867 delta_mse=0.000003 delta_rel=4.1267 delta_rel_loss=1.6345 cos=0.0706 rel=1.2339 norm_ratio=0.7969
step=01340/3000 loss=6.253578 tensor_mse=0.055289 delta_mse=0.000005 delta_rel=2.5639 delta_rel_loss=1.2709 cos=0.1370 rel=1.1647 norm_ratio=0.7495
step=01350/3000 loss=6.266729 tensor_mse=0.055503 delta_mse=0.000005 delta_rel=2.7043 delta_rel_loss=1.3095 cos=0.1377 rel=1.1694 norm_ratio=0.7594
step=01360/3000 loss=6.859104 tensor_mse=0.058995 delta_mse=0.000006 delta_rel=6.1823 delta_rel_loss=1.9716 cos=0.0916 rel=1.2296 norm_ratio=0.8129
step=01370/3000 loss=6.739920 tensor_mse=0.057124 delta_mse=0.000003 delta_rel=3.7287 delta_rel_loss=1.5536 cos=0.0753 rel=1.2286 norm_ratio=0.7931
step=01380/3000 loss=6.541643 tensor_mse=0.057601 delta_mse=0.000003 delta_rel=3.1602 delta_rel_loss=1.4256 cos=0.0991 rel=1.2112 norm_ratio=0.7897
step=01390/3000 loss=6.677716 tensor_mse=0.058038 delta_mse=0.000002 delta_rel=3.5117 delta_rel_loss=1.5067 cos=0.0825 rel=1.2364 norm_ratio=0.8143
step=01400/3000 loss=6.960446 tensor_mse=0.059959 delta_mse=0.000005 delta_rel=6.3167 delta_rel_loss=1.9902 cos=0.0760 rel=1.2525 norm_ratio=0.8339
step=01410/3000 loss=6.105185 tensor_mse=0.056185 delta_mse=0.000006 delta_rel=2.6049 delta_rel_loss=1.2823 cos=0.1642 rel=1.1494 norm_ratio=0.7542
step=01420/3000 loss=6.763149 tensor_mse=0.058160 delta_mse=0.000003 delta_rel=4.1711 delta_rel_loss=1.6431 cos=0.0793 rel=1.2329 norm_ratio=0.8048
step=01430/3000 loss=6.707720 tensor_mse=0.058526 delta_mse=0.000003 delta_rel=3.6849 delta_rel_loss=1.5443 cos=0.0805 rel=1.2341 norm_ratio=0.8082
