/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=65536 device=cuda
step=00910/2000 loss=0.050078 tensor_mse=0.040180 delta_mse=0.000004 cos=0.0103 rel=1.0415
step=00920/2000 loss=0.046060 tensor_mse=0.036157 delta_mse=0.000002 cos=0.0097 rel=1.0428
step=00930/2000 loss=0.050733 tensor_mse=0.040830 delta_mse=0.000004 cos=0.0098 rel=1.0465
step=00940/2000 loss=0.045952 tensor_mse=0.036052 delta_mse=0.000002 cos=0.0100 rel=1.0414
step=00950/2000 loss=0.049988 tensor_mse=0.040099 delta_mse=0.000004 cos=0.0111 rel=1.0385
step=00960/2000 loss=0.045908 tensor_mse=0.036015 delta_mse=0.000002 cos=0.0107 rel=1.0398
step=00970/2000 loss=0.050949 tensor_mse=0.041082 delta_mse=0.000005 cos=0.0133 rel=1.0328
step=00980/2000 loss=0.048469 tensor_mse=0.038596 delta_mse=0.000003 cos=0.0127 rel=1.0368
step=00990/2000 loss=0.048630 tensor_mse=0.038765 delta_mse=0.000004 cos=0.0136 rel=1.0346
step=01000/2000 loss=0.046066 tensor_mse=0.036178 delta_mse=0.000002 cos=0.0112 rel=1.0436
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-1000
step=01010/2000 loss=0.048473 tensor_mse=0.038606 delta_mse=0.000003 cos=0.0134 rel=1.0379
step=01020/2000 loss=0.046165 tensor_mse=0.036278 delta_mse=0.000002 cos=0.0113 rel=1.0480
step=01030/2000 loss=0.051223 tensor_mse=0.041378 delta_mse=0.000005 cos=0.0156 rel=1.0343
step=01040/2000 loss=0.050283 tensor_mse=0.040437 delta_mse=0.000004 cos=0.0154 rel=1.0366
step=01050/2000 loss=0.045704 tensor_mse=0.035825 delta_mse=0.000002 cos=0.0121 rel=1.0481
step=01060/2000 loss=0.051211 tensor_mse=0.041382 delta_mse=0.000005 cos=0.0171 rel=1.0367
step=01070/2000 loss=0.046907 tensor_mse=0.037055 delta_mse=0.000002 cos=0.0149 rel=1.0385
step=01080/2000 loss=0.047027 tensor_mse=0.037175 delta_mse=0.000002 cos=0.0148 rel=1.0427
step=01090/2000 loss=0.046985 tensor_mse=0.037142 delta_mse=0.000002 cos=0.0158 rel=1.0425
step=01100/2000 loss=0.048829 tensor_mse=0.038986 delta_mse=0.000004 cos=0.0158 rel=1.0521
step=01110/2000 loss=0.051345 tensor_mse=0.041538 delta_mse=0.000005 cos=0.0193 rel=1.0443
step=01120/2000 loss=0.048657 tensor_mse=0.038845 delta_mse=0.000003 cos=0.0189 rel=1.0394
step=01130/2000 loss=0.050481 tensor_mse=0.040687 delta_mse=0.000004 cos=0.0206 rel=1.0482
step=01140/2000 loss=0.046179 tensor_mse=0.036335 delta_mse=0.000002 cos=0.0157 rel=1.0514
step=01150/2000 loss=0.050100 tensor_mse=0.040343 delta_mse=0.000004 cos=0.0244 rel=1.0403
step=01160/2000 loss=0.048483 tensor_mse=0.038708 delta_mse=0.000003 cos=0.0226 rel=1.0460
step=01170/2000 loss=0.048215 tensor_mse=0.038493 delta_mse=0.000004 cos=0.0278 rel=1.0371
step=01180/2000 loss=0.050886 tensor_mse=0.041168 delta_mse=0.000005 cos=0.0282 rel=1.0484
step=01190/2000 loss=0.050902 tensor_mse=0.041205 delta_mse=0.000005 cos=0.0304 rel=1.0430
step=01200/2000 loss=0.048341 tensor_mse=0.038610 delta_mse=0.000003 cos=0.0269 rel=1.0482
step=01210/2000 loss=0.049597 tensor_mse=0.039949 delta_mse=0.000005 cos=0.0352 rel=1.0386
step=01220/2000 loss=0.046058 tensor_mse=0.036269 delta_mse=0.000002 cos=0.0211 rel=1.0551
step=01230/2000 loss=0.047455 tensor_mse=0.037842 delta_mse=0.000003 cos=0.0387 rel=1.0296
step=01240/2000 loss=0.049665 tensor_mse=0.040047 delta_mse=0.000005 cos=0.0383 rel=1.0450
step=01250/2000 loss=0.046098 tensor_mse=0.036336 delta_mse=0.000002 cos=0.0239 rel=1.0603
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-1250
step=01260/2000 loss=0.049390 tensor_mse=0.039957 delta_mse=0.000005 cos=0.0567 rel=1.0250
step=01270/2000 loss=0.045656 tensor_mse=0.035911 delta_mse=0.000003 cos=0.0255 rel=1.0527
step=01280/2000 loss=0.046084 tensor_mse=0.036352 delta_mse=0.000003 cos=0.0268 rel=1.0622
step=01290/2000 loss=0.049099 tensor_mse=0.039769 delta_mse=0.000005 cos=0.0670 rel=1.0199
step=01300/2000 loss=0.046068 tensor_mse=0.036484 delta_mse=0.000003 cos=0.0417 rel=1.0444
step=01310/2000 loss=0.045514 tensor_mse=0.035828 delta_mse=0.000003 cos=0.0314 rel=1.0520
step=01320/2000 loss=0.045369 tensor_mse=0.035707 delta_mse=0.000002 cos=0.0338 rel=1.0585
step=01330/2000 loss=0.046440 tensor_mse=0.036801 delta_mse=0.000004 cos=0.0361 rel=1.0700
step=01340/2000 loss=0.046579 tensor_mse=0.036966 delta_mse=0.000004 cos=0.0387 rel=1.0657
step=01350/2000 loss=0.047926 tensor_mse=0.038405 delta_mse=0.000005 cos=0.0480 rel=1.0566
step=01360/2000 loss=0.048945 tensor_mse=0.039657 delta_mse=0.000006 cos=0.0713 rel=1.0356
step=01370/2000 loss=0.046950 tensor_mse=0.037477 delta_mse=0.000005 cos=0.0527 rel=1.0627
step=01380/2000 loss=0.048393 tensor_mse=0.039025 delta_mse=0.000006 cos=0.0632 rel=1.0547
step=01390/2000 loss=0.045712 tensor_mse=0.036071 delta_mse=0.000004 cos=0.0359 rel=1.0706
step=01400/2000 loss=0.047972 tensor_mse=0.038581 delta_mse=0.000007 cos=0.0610 rel=1.0682
step=01410/2000 loss=0.045481 tensor_mse=0.035895 delta_mse=0.000003 cos=0.0414 rel=1.0558
step=01420/2000 loss=0.046074 tensor_mse=0.036395 delta_mse=0.000005 cos=0.0322 rel=1.0917
step=01430/2000 loss=0.045719 tensor_mse=0.036111 delta_mse=0.000004 cos=0.0393 rel=1.0769
step=01440/2000 loss=0.048865 tensor_mse=0.039651 delta_mse=0.000006 cos=0.0787 rel=1.0412
step=01450/2000 loss=0.049170 tensor_mse=0.039915 delta_mse=0.000007 cos=0.0746 rel=1.0524
step=01460/2000 loss=0.045963 tensor_mse=0.036519 delta_mse=0.000004 cos=0.0556 rel=1.0467
step=01470/2000 loss=0.046318 tensor_mse=0.037096 delta_mse=0.000005 cos=0.0779 rel=1.0392
step=01480/2000 loss=0.046427 tensor_mse=0.036908 delta_mse=0.000005 cos=0.0481 rel=1.0767
step=01490/2000 loss=0.045237 tensor_mse=0.035694 delta_mse=0.000003 cos=0.0457 rel=1.0541
step=01500/2000 loss=0.045822 tensor_mse=0.036419 delta_mse=0.000003 cos=0.0597 rel=1.0427
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-1500
step=01510/2000 loss=0.045494 tensor_mse=0.035938 delta_mse=0.000003 cos=0.0445 rel=1.0531
step=01520/2000 loss=0.045157 tensor_mse=0.035635 delta_mse=0.000003 cos=0.0477 rel=1.0580
step=01530/2000 loss=0.048029 tensor_mse=0.038943 delta_mse=0.000006 cos=0.0914 rel=1.0315
step=01540/2000 loss=0.046300 tensor_mse=0.036709 delta_mse=0.000004 cos=0.0410 rel=1.0814
step=01550/2000 loss=0.047540 tensor_mse=0.038591 delta_mse=0.000006 cos=0.1052 rel=1.0201
step=01560/2000 loss=0.046145 tensor_mse=0.036711 delta_mse=0.000004 cos=0.0566 rel=1.0568
step=01570/2000 loss=0.048542 tensor_mse=0.039326 delta_mse=0.000006 cos=0.0784 rel=1.0545
step=01580/2000 loss=0.046931 tensor_mse=0.037843 delta_mse=0.000005 cos=0.0912 rel=1.0304
step=01590/2000 loss=0.047728 tensor_mse=0.038816 delta_mse=0.000006 cos=0.1089 rel=1.0171
step=01600/2000 loss=0.046612 tensor_mse=0.037392 delta_mse=0.000005 cos=0.0780 rel=1.0503
step=01610/2000 loss=0.047112 tensor_mse=0.037810 delta_mse=0.000005 cos=0.0699 rel=1.0565
step=01620/2000 loss=0.047860 tensor_mse=0.038837 delta_mse=0.000006 cos=0.0978 rel=1.0309
step=01630/2000 loss=0.046938 tensor_mse=0.037846 delta_mse=0.000006 cos=0.0909 rel=1.0337
step=01640/2000 loss=0.045049 tensor_mse=0.035628 delta_mse=0.000003 cos=0.0579 rel=1.0470
step=01650/2000 loss=0.047647 tensor_mse=0.038726 delta_mse=0.000006 cos=0.1079 rel=1.0187
step=01660/2000 loss=0.045420 tensor_mse=0.035917 delta_mse=0.000003 cos=0.0497 rel=1.0487
step=01670/2000 loss=0.045578 tensor_mse=0.036237 delta_mse=0.000003 cos=0.0660 rel=1.0359
step=01680/2000 loss=0.046351 tensor_mse=0.036772 delta_mse=0.000004 cos=0.0422 rel=1.0819
step=01690/2000 loss=0.046397 tensor_mse=0.037091 delta_mse=0.000005 cos=0.0694 rel=1.0628
step=01700/2000 loss=0.045495 tensor_mse=0.036582 delta_mse=0.000004 cos=0.1088 rel=1.0150
